,question_id,question_text,test_type,description,model,source,global_discipline_name,grade,answers,correct_answer_indices
0,4219882a-11a5-4d12-a319-aef44197bbea,"Чому дорівнює знаменник геометричної прогресії \((b_n)\), якщо \( b_1=56,  b_2=7\)?",single_choice,,manual,imported_from_lms,Алгебра,9,['8' '49' '–8' '\\(\\frac{ 1}{8}\\)'],[3]
1,ab6163d7-3b31-41f9-9505-c7b94877bc9b,Яка з основних тенденцій «довгого ХІХ ст.» була зумовлена подіями Французької революції?,single_choice,,manual,imported_from_lms,Історія України,9,"['формування політичних націй'
 'прискорення процесів промислового перевороту'
 'перехід від аграрного суспільства до індустріального'
 'індустріалізація та початок  глобалізаційних процесів']",[0]
2,b2b3bba3-bd74-41c4-b90e-339b555cb7ec,Знайдіть множину розв’язків нерівності \((x+6)^2<0\) .,single_choice,,manual,imported_from_lms,Алгебра,9,['\\(R\\)' '\\(−6\\)' '\\(6\\)' '\\(∅\\)'],[3]
3,4d68cf6d-f021-4ede-a1a0-66b06fc36cb1,На рисунку зображено графік функції \(y = ax^2\). Укажіть значення a.,single_choice,,manual,imported_from_lms,Алгебра,9,"['2' '0,5' '-2' '1']",[1]
4,bd7f90d9-93fa-4933-bc50-3e816e08bac8,Знайдіть нулі функції \(у = x^2 + 5x - 6 \).,single_choice,,manual,imported_from_lms,Алгебра,9,['\\(- 1; 6 \\)' '\\(1; 6 \\)' '\\(- 6; 1 \\)' '\\(- 6; -1 \\)'],[2]
5,2f0e487a-d55a-4dd3-ba54-bfeadffd1f01,Яка подія відбулася найраніше?,single_choice,,manual,imported_from_lms,Історія України,8,"['Корсунська битва' 'Пилявецька битва' 'Жовтоводська битва'
 'Зборівська битва']",[2]
6,d69ee65e-bbd4-470e-a329-9df5a8f2db86,Укажіть допустимі значення змінної \(x\) у виразі \(\frac{x-3}{x+4}+\frac{1}{x(x-2)}\).,single_choice,,manual,imported_from_lms,Алгебра,8,['\\(x≠-4; 0; 2\\)' '\\(x≠-4; 0; 2; 3\\)' '\\(x≠3\\)' '\\(x≠-4; 2\\)'],[0]
7,46d9f7d7-355e-49cb-ba74-5ab8a985813f,Односкладним називним є речення,single_choice,,manual,imported_from_lms,Українська мова,8,"['Теплий вітерець повіяв.' 'Холодний день.' 'Камінь холодний'
 'Сьогодні холодний день.']",[1]
8,03ee0ed3-1064-4ec6-ab31-f4db837c7954,"Тире, тому що речення неповне, вжито в реченні:",single_choice,,manual,imported_from_lms,Українська мова,8,"['Життя – це боротьба.' 'Боротись – значить жить.'
 'Життя триває довго, щастя – мить.'
 'І чебрець, і м’яту, і любисток – усе вирощувала мати.']",[2]
9,b709f8aa-ec23-43d4-b4c6-c77c06892ca0,"Безособове речення, у якому головним членом є особове дієслово в значенні безособового",single_choice,,manual,imported_from_lms,Українська мова,8,"['Вітер розкуйовдив крони дерев.' 'Правди не сховаєш.'
 'Аж раптом блиснуло зовсім поряд.' 'Вогник блиснув і погас.']",[2]
